title,description,resolution
Slow App Response,Multiple failed login attempts on payment service.,Cleared cache
Disk Full,Multiple failed login attempts on web server.,Fixed configuration
Email Delivery Issue,Users unable to log in via SSO on database.,Applied hotfix
Sync Delay,Service crashes on startup on user devices.,Cleared cache
Unauthorized Access,App crashes on launch on user devices.,Cleared cache
Memory Leak,Scheduled jobs not running on user devices.,Restarted cron jobs
Memory Leak,App crashes on launch on web server.,Restarted service
Disk Full,Memory usage keeps growing on app server.,Applied hotfix
Cache Issue,DB connection pool exhausted on user devices.,Cleared cache
DNS Failure,Multiple failed login attempts on app server.,Extended disk volume
DNS Failure,Vulnerability found in server on payment service.,Upgraded server version
Unauthorized Access,Emails not sent on user devices.,Applied hotfix
SSL Certificate Expired,CPU usage spiked to 100% on database.,Updated SDK
Job Scheduler Error,App crashes on launch on web server.,Optimized SQL query
Slow App Response,DB connection pool exhausted on payment service.,Updated SDK
Slow App Response,DNS resolution failed on web server.,Extended disk volume
SSL Certificate Expired,Checkout failing on database.,Blocked suspicious IPs
API Rate Limit,Pod stuck in CrashLoopBackOff on web server.,Restarted mail server
App Crash,DB connection pool exhausted on user devices.,Fixed configuration
Email Delivery Issue,Scheduled jobs not running on payment service.,Applied hotfix
Memory Leak,Cache showing stale data on web server.,Restarted cron jobs
Database Timeout,CPU usage spiked to 100% on database.,Upgraded server version
API Rate Limit,Users unable to log in via SSO on database.,Rolled back deployment
DNS Failure,Emails not sent on web server.,Extended disk volume
Job Scheduler Error,App slow during peak hours on payment service.,Implemented retry logic
